datetime,total_number,day_type,ticket_type,service,Month_Year,Year,As Quarter,Fiscal Year
2009-11-01 10:00:00,1368,Weekday,Ticketed,Loop Original,2009-11,2009,2010Q2,2010
2009-12-01 10:00:00,1890,Weekday,Ticketed,Loop Original,2009-12,2009,2010Q2,2010
2010-01-01 10:00:00,1999,Weekday,Ticketed,Loop Original,2010-01,2010,2010Q3,2010
2010-02-01 10:00:00,1845,Weekday,Ticketed,Loop Original,2010-02,2010,2010Q3,2010
2010-03-01 10:00:00,1837,Weekday,Ticketed,Loop Original,2010-03,2010,2010Q3,2010
2010-04-01 10:00:00,2046,Weekday,Ticketed,Loop Original,2010-04,2010,2010Q4,2010
2010-05-01 10:00:00,1497,Weekday,Ticketed,Loop Original,2010-05,2010,2010Q4,2010
2010-06-01 10:00:00,1896,Weekday,Ticketed,Loop Original,2010-06,2010,2010Q4,2010
2010-07-01 10:00:00,1937,Weekday,Ticketed,Loop Original,2010-07,2010,2011Q1,2011
2010-08-01 10:00:00,1965,Weekday,Ticketed,Loop Original,2010-08,2010,2011Q1,2011
2010-09-01 10:00:00,1977,Weekday,Ticketed,Loop Original,2010-09,2010,2011Q1,2011
2010-10-01 10:00:00,2057,Weekday,Ticketed,Loop Original,2010-10,2010,2011Q2,2011
2010-11-01 10:00:00,1723,Weekday,Ticketed,Loop Original,2010-11,2010,2011Q2,2011
2010-12-01 10:00:00,1837,Weekday,Ticketed,Loop Original,2010-12,2010,2011Q2,2011
2011-01-01 10:00:00,1745,Weekday,Ticketed,Loop Original,2011-01,2011,2011Q3,2011
2011-02-01 10:00:00,2157,Weekday,Ticketed,Loop Original,2011-02,2011,2011Q3,2011
2011-03-01 10:00:00,2009,Weekday,Ticketed,Loop Original,2011-03,2011,2011Q3,2011
2011-04-01 10:00:00,1525,Weekday,Ticketed,Loop Original,2011-04,2011,2011Q4,2011
2011-05-01 10:00:00,2371,Weekday,Ticketed,Loop Original,2011-05,2011,2011Q4,2011
2011-06-01 10:00:00,2399,Weekday,Ticketed,Loop Original,2011-06,2011,2011Q4,2011
2011-07-01 10:00:00,2320,Weekday,Ticketed,Loop Original,2011-07,2011,2012Q1,2012
2011-08-01 10:00:00,2746,Weekday,Ticketed,Loop Original,2011-08,2011,2012Q1,2012
2011-09-01 10:00:00,2845,Weekday,Ticketed,Loop Original,2011-09,2011,2012Q1,2012
2011-10-01 10:00:00,2365,Weekday,Ticketed,Loop Original,2011-10,2011,2012Q2,2012
2011-11-01 10:00:00,2124,Weekday,Ticketed,Loop Original,2011-11,2011,2012Q2,2012
2011-12-01 10:00:00,2126,Weekday,Ticketed,Loop Original,2011-12,2011,2012Q2,2012
2012-01-01 10:00:00,2604,Weekday,Ticketed,Loop Original,2012-01,2012,2012Q3,2012
2012-02-01 10:00:00,2195,Weekday,Ticketed,Loop Original,2012-02,2012,2012Q3,2012
2012-03-01 10:00:00,2149,Weekday,Ticketed,Loop Original,2012-03,2012,2012Q3,2012
2012-04-01 10:00:00,2355,Weekday,Ticketed,Loop Original,2012-04,2012,2012Q4,2012
2012-05-01 10:00:00,2289,Weekday,Ticketed,Loop Original,2012-05,2012,2012Q4,2012
2012-06-01 10:00:00,2205,Weekday,Ticketed,Loop Original,2012-06,2012,2012Q4,2012
